Name,Team,Number,Position,Height,Weight,Age,Salary,College
Avery Bradley,Boston Celtics,0,PG,6.2,180,25,7730337,Texas
Jae Crowder,Boston Celtics,99,SF,6.3,235,25,6796117,Marquette
John Holland,Boston Celtics,30,SG,6.4,205,27,,Boston University
R.J. Hunter,Boston Celtics,28,SG,6.5,185,22,1148640,Georgia State
Jonas Jerebko,Boston Celtics,8,PF,6.6,231,29,5000000,
Amir Johnson,Boston Celtics,90,PF,6.7,240,29,12000000,
Jordan Mickey,Boston Celtics,55,PF,6.8,235,21,1170960,LSU
Kelly Olynyk,Boston Celtics,41,C,6.9,238,25,2165160,Gonzaga
Terry Rozier,Boston Celtics,12,PG,6.1,190,22,1824360,Louisville
Marcus Smart,Boston Celtics,36,PG,6.11,220,22,3431040,Oklahoma State
Jared Sullinger,Boston Celtics,7,C,6.12,260,24,2569260,Ohio State
Isaiah Thomas,Boston Celtics,4,PG,6.13,185,27,6912869,Washington
Evan Turner,Boston Celtics,11,SG,6.14,220,27,3425510,Ohio State
James Young,Boston Celtics,13,SG,6.15,215,20,1749840,Kentucky
Tyler Zeller,Boston Celtics,44,C,6.16,253,26,2616975,North Carolina
Bojan Bogdanovic,Brooklyn Nets,44,SG,6.17,216,27,3425510,
Markel Brown,Brooklyn Nets,22,SG,6.18,190,24,845059,Oklahoma State
Wayne Ellington,Brooklyn Nets,21,SG,6.19,200,28,1500000,North Carolina
Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,6.2,220,21,1335480,Arizona
Jarrett Jack,Brooklyn Nets,2,PG,6.21,200,32,6300000,Georgia Tech
Sergey Karasev,Brooklyn Nets,10,SG,6.22,208,22,1599840,
Sean Kilpatrick,Brooklyn Nets,6,SG,6.23,219,26,134215,Cincinnati
Shane Larkin,Brooklyn Nets,0,PG,6.24,175,23,1500000,Miami (FL)
Brook Lopez,Brooklyn Nets,11,C,6.25,275,28,19689000,Stanford
Chris McCullough,Brooklyn Nets,1,PF,6.26,200,21,1140240,Syracuse
Willie Reed,Brooklyn Nets,33,PF,6.27,220,26,947276,Saint Louis
Thomas Robinson,Brooklyn Nets,41,PF,6.28,237,25,981348,Kansas
Henry Sims,Brooklyn Nets,14,C,6.29,248,26,947276,Georgetown
Donald Sloan,Brooklyn Nets,15,PG,6.3,205,28,947276,Texas A&M
Thaddeus Young,Brooklyn Nets,30,PF,7.1,221,27,11235955,Georgia Tech
Arron Afflalo,New York Knicks,4,SG,7.2,210,30,8000000,UCLA
Lou Amundson,New York Knicks,17,PF,7.3,220,33,1635476,UNLV
Thanasis Antetokounmpo,New York Knicks,43,SF,7.4,205,23,30888,
Carmelo Anthony,New York Knicks,7,SF,7.5,240,32,22875000,Syracuse
Jose Calderon,New York Knicks,3,PG,7.6,200,34,7402812,
Cleanthony Early,New York Knicks,11,SF,7.7,210,25,845059,Wichita State
Langston Galloway,New York Knicks,2,SG,7.8,200,24,845059,Saint Joseph's
Jerian Grant,New York Knicks,13,PG,7.9,195,23,1572360,Notre Dame
Robin Lopez,New York Knicks,8,C,7.1,255,28,12650000,Stanford
Kyle O'Quinn,New York Knicks,9,PF,7.11,250,26,3750000,Norfolk State
Kristaps Porzingis,New York Knicks,6,PF,7.12,240,20,4131720,
Kevin Seraphin,New York Knicks,1,C,7.13,278,26,2814000,
Lance Thomas,New York Knicks,42,SF,7.14,235,28,1636842,Duke
Sasha Vujacic,New York Knicks,18,SG,7.15,195,32,947276,
Derrick Williams,New York Knicks,23,PF,7.16,240,25,4000000,Arizona
Tony Wroten,New York Knicks,5,SG,7.17,205,23,167406,Washington
Elton Brand,Philadelphia 76ers,42,PF,7.18,254,37,,Duke
Isaiah Canaan,Philadelphia 76ers,0,PG,7.19,201,25,947276,Murray State
Robert Covington,Philadelphia 76ers,33,SF,7.2,215,25,1000000,Tennessee State
Joel Embiid,Philadelphia 76ers,21,C,7.21,250,22,4626960,Kansas
Jerami Grant,Philadelphia 76ers,39,SF,7.22,210,22,845059,Syracuse
Richaun Holmes,Philadelphia 76ers,22,PF,7.23,245,22,1074169,Bowling Green
Carl Landry,Philadelphia 76ers,7,PF,7.24,248,32,6500000,Purdue
Kendall Marshall,Philadelphia 76ers,5,PG,7.25,200,24,2144772,North Carolina
T.J. McConnell,Philadelphia 76ers,12,PG,7.26,200,24,525093,Arizona
Nerlens Noel,Philadelphia 76ers,4,PF,7.27,228,22,3457800,Kentucky
Jahlil Okafor,Philadelphia 76ers,8,C,7.28,275,20,4582680,Duke
Ish Smith,Philadelphia 76ers,1,PG,7.29,175,27,947276,Wake Forest
Nik Stauskas,Philadelphia 76ers,11,SG,7.3,205,22,2869440,Michigan
Hollis Thompson,Philadelphia 76ers,31,SG,7.31,206,25,947276,Georgetown
Christian Wood,Philadelphia 76ers,35,PF,8.1,220,20,525093,UNLV
Bismack Biyombo,Toronto Raptors,8,C,8.2,245,23,2814000,
Bruno Caboclo,Toronto Raptors,20,SF,8.3,205,20,1524000,
DeMarre Carroll,Toronto Raptors,5,SF,8.4,212,29,13600000,Missouri
DeMar DeRozan,Toronto Raptors,10,SG,8.5,220,26,10050000,USC
James Johnson,Toronto Raptors,3,PF,8.6,250,29,2500000,Wake Forest
Cory Joseph,,6,PG,6.3,190,24,7000000,Texas
Kyle Lowry,,7,PG,6,205,30,12000000,Villanova
Lucas Nogueira,Toronto Raptors,92,C,7,220,23,1842000,
Patrick Patterson,Toronto Raptors,54,PF,6.9,235,27,6268675,Kentucky
Norman Powell,Toronto Raptors,24,SG,6.4,215,23,650000,UCLA
Terrence Ross,Toronto Raptors,31,SF,6.7,195,25,3553917,Washington
Luis Scola,Toronto Raptors,4,PF,6.9,240,36,2900000,
Jason Thompson,Toronto Raptors,1,PF,6.11,250,29,245177,Rider
Jonas Valanciunas,Toronto Raptors,17,C,7,255,24,4660482,
Delon Wright,Toronto Raptors,55,PG,6.5,190,24,1509360,Utah
Leandro Barbosa,Golden State Warriors,19,SG,6.3,194,33,2500000,
Harrison Barnes,Golden State Warriors,40,SF,6.8,225,24,3873398,North Carolina
Andrew Bogut,Golden State Warriors,12,C,7,260,31,13800000,Utah
